37	9	1
68	20	1
30	94	1
25	23	1
17	46	1
7	48	1
47	72	1
30	66	1
96	73	0
26	67	1
63	17	1
52	65	1
43	73	1
81	11	1
18	43	1
25	20	1
85	54	0
65	53	1
21	34	1
59	27	1
33	20	1
27	97	1
87	52	0
69	68	0
24	9	1
71	10	1
99	27	1
80	48	1
96	45	1
44	49	1
67	9	1
90	13	1
88	53	0
42	4	1
49	77	1
18	44	1
9	92	1
81	13	1
21	57	1
7	20	1
29	41	1
31	1	1
96	25	1
39	42	1
97	78	0
99	62	0
63	39	1
92	8	1
88	4	1
78	87	0
39	38	1
92	55	0
77	99	0
4	47	1
55	94	0
22	68	1
68	72	0
57	2	1
60	26	1
82	62	0
43	73	1
40	45	1
90	57	0
75	30	1
92	98	0
79	61	0
74	59	1
55	74	1
46	99	0
63	81	0
94	10	1
27	68	1
17	64	1
90	37	1
38	55	1
27	67	1
79	16	1
11	11	1
37	16	1
36	45	1
48	56	1
46	20	1
96	43	1
72	82	0
51	56	1
49	67	1
19	66	1
81	88	0
92	6	1
70	99	0
71	29	1
42	33	1
30	48	1
4	74	1
90	21	1
10	93	1
59	87	0
83	76	0
29	12	1
65	57	1
65	20	1
95	39	1
37	39	1
31	33	1
90	3	1
89	76	0
11	38	1
74	72	0
20	75	1
59	67	1
29	51	1
12	86	1
13	69	1
72	41	1
74	21	1
71	86	0
80	61	0
42	77	1
23	80	1
45	61	1
33	44	1
93	23	1
1	43	1
85	5	1
27	34	1
8	45	1
90	69	0
86	55	0
58	14	1
23	65	1
79	63	0
87	7	1
4	61	1
58	68	1
92	1	1
33	77	1
8	46	1
48	63	1
38	32	1
22	50	1
77	49	1
83	46	1
23	57	1
7	82	1
67	7	1
99	96	0
41	13	1
93	5	1
73	51	1
93	3	1
1	43	1
87	78	0
45	43	1
22	38	1
35	94	1
91	57	0
6	60	1
58	65	1
18	58	1
58	19	1
64	8	1
3	88	1
40	3	1
71	91	0
55	20	1
1	7	1
6	55	1
54	35	1
85	88	0
96	87	0
41	44	1
71	85	0
88	92	0
75	56	1
53	14	1
45	14	1
52	99	0
87	67	0
98	55	0
1	22	1
66	18	1
41	59	1
69	18	1
88	85	0
78	59	0
81	81	0
66	42	1
92	80	0
79	32	1
23	14	1
44	47	1
21	93	1
31	96	1
85	34	1
22	75	1
87	71	0
60	46	1
99	12	1
41	4	1
59	57	1
59	51	1
38	69	1
79	54	1
31	6	1
64	65	1
83	41	1
30	66	1
6	56	1
53	10	1
80	56	0
69	88	0
25	14	1
74	7	1
91	7	1
37	22	1
46	76	1
77	58	0
46	86	1
33	68	1
90	60	0
36	4	1
76	56	1
30	19	1
35	94	1
59	5	1
99	25	1
45	46	1
98	63	0
32	54	1
76	46	1
37	28	1
25	93	1
97	57	0
44	69	1
35	19	1
53	75	1
45	7	1
92	70	0
6	84	1
41	94	1
50	53	1
77	87	0
20	16	1
81	47	1
86	38	1
50	35	1
99	23	1
52	55	1
7	64	1
47	49	1
3	95	1
21	81	1
92	97	0
5	34	1
56	95	0
38	1	1
95	59	0
12	8	1
3	40	1
2	69	1
37	1	1
41	10	1
2	74	1
23	36	1
9	8	1
19	57	1
50	73	1
29	40	1
49	7	1
39	81	1
5	12	1
82	56	0
72	96	0
79	29	1
3	14	1
9	27	1
16	75	1
98	5	1
62	94	0
16	10	1
23	28	1
58	98	0
12	87	1
46	26	1
32	88	1
23	74	1
93	41	1
5	84	1
25	63	1
8	29	1
80	11	1
54	18	1
8	77	1
18	33	1
5	88	1
46	50	1
69	63	1
74	76	0
35	10	1
56	32	1
16	31	1
81	80	0
32	52	1
77	77	0
60	9	1
80	64	0
80	14	1
64	53	1
4	66	1
46	5	1
99	78	0
31	24	1
83	25	1
45	7	1
57	82	0
6	10	1
52	18	1
42	27	1
20	83	1
33	63	1
21	71	1
13	67	1
74	16	1
17	80	1
24	27	1
34	66	1
93	3	1
5	15	1
25	38	1
45	94	1
74	79	0
89	33	1
50	89	0
99	15	1
30	87	1
7	74	1
39	49	1
88	30	1
65	81	0
42	6	1
35	76	1
45	36	1
20	92	1
89	98	0
87	82	0
22	98	1
93	52	0
95	33	1
68	19	1
54	13	1
34	94	1
65	12	1
52	5	1
29	91	1
70	12	1
89	53	0
78	23	1
93	59	0
39	79	1
36	23	1
44	33	1
34	69	1
96	75	0
49	14	1
51	24	1
57	31	1
46	60	1
87	87	0
42	51	1
89	70	0
55	64	1
39	67	1
25	53	1
78	45	1
67	51	1
7	50	1
77	21	1
21	83	1
64	73	0
23	3	1
42	51	1
18	37	1
89	66	0
38	35	1
27	11	1
23	11	1
9	29	1
76	46	1
33	24	1
67	25	1
39	55	1
12	45	1
43	31	1
66	30	1
22	5	1
54	82	0
25	78	1
77	64	0
13	35	1
84	85	0
