47	178
188	587
140	447
114	372
109	342
194	599
196	598
72	245
116	378
186	578
9	39
160	500
77	251
115	366
162	506
75	247
60	208
115	366
190	580
93	312
29	117
17	58
11	65
168	527
166	506
124	387
181	569
96	314
159	505
155	487
95	311
56	194
167	516
7	55
186	590
84	279
103	321
73	236
102	336
86	284
67	217
183	568
174	562
108	347
115	373
25	93
46	160
15	55
198	609
63	207
159	512
13	57
179	552
137	424
41	156
76	252
109	356
21	81
33	116
147	457
188	585
96	295
89	294
195	591
176	557
99	304
116	378
122	385
90	288
98	310
10	47
156	495
80	269
35	128
10	52
54	182
135	437
95	317
53	193
128	409
35	127
179	555
145	465
26	99
104	337
190	601
24	85
7	54
156	498
196	613
182	562
96	319
17	74
93	311
47	154
158	483
163	504
42	133
49	186
28	120
40	142
183	579
90	285
186	577
106	351
169	528
14	70
139	443
181	571
36	139
113	354
20	72
173	547
162	511
135	439
95	306
146	458
6	37
195	600
102	324
48	154
137	434
138	438
166	518
138	432
118	371
139	435
42	168
166	526
196	605
196	608
121	391
191	610
161	508
149	456
97	318
135	440
129	418
20	80
184	578
48	153
132	412
33	114
163	498
39	141
194	597
39	159
154	486
38	155
120	382
138	427
127	391
58	206
14	80
121	390
159	498
132	418
30	105
119	375
88	283
15	58
111	363
55	204
58	192
172	537
178	552
128	412
64	212
149	461
20	95
164	502
121	373
156	477
197	625
130	405
170	526
21	96
82	259
162	501
124	396
37	136
51	190
44	135
7	34
98	317
142	452
169	540
46	172
94	294
161	501
77	251
93	312
137	433
45	152
37	138
87	287
99	319
139	439
23	91
186	572
